genderLabel,genreLabel,actorCount
female,action film,222
male,action film,475
female,adventure film,165
male,adventure film,276
female,comedy drama,22
male,comedy drama,30
female,comedy film,355
male,comedy film,409
female,crime film,59
male,crime film,132
female,documentary film,1
male,documentary film,20
female,drama film,487
male,drama film,719
female,horror film,122
male,horror film,178
female,romance film,85
male,romance film,93
female,thriller film,229
male,thriller film,458
