genderLabel,genreLabel,actorCount
female,action film,264
male,action film,534
female,adventure film,148
male,adventure film,312
female,comedy drama,86
male,comedy drama,119
female,comedy film,208
male,comedy film,297
female,crime film,125
male,crime film,218
female,documentary film,31
male,documentary film,40
female,drama film,662
male,drama film,1034
female,horror film,137
male,horror film,175
female,romance film,140
male,romance film,181
female,thriller film,361
male,thriller film,585
