genderLabel,genreLabel,actorCount
female,action film,318
male,action film,794
female,adventure film,152
male,adventure film,313
female,comedy drama,179
male,comedy drama,266
female,comedy film,369
male,comedy film,579
female,crime film,158
male,crime film,385
female,documentary film,68
male,documentary film,178
female,drama film,741
male,drama film,1357
female,horror film,205
male,horror film,229
female,romance film,165
male,romance film,182
female,thriller film,303
male,thriller film,523
