genderLabel,genreLabel,actorCount
female,action film,135
male,action film,310
female,adventure film,65
male,adventure film,144
female,comedy drama,41
male,comedy drama,71
female,comedy film,150
male,comedy film,244
female,crime film,52
male,crime film,95
female,documentary film,4
male,documentary film,7
female,drama film,363
male,drama film,573
female,horror film,115
male,horror film,157
female,romance film,55
male,romance film,98
female,thriller film,160
male,thriller film,270
